wavelength,gain_port_1,gain_port_2,gain_port_3,gain_port_4,gain_port_5,gain_port_6,gain_port_7,gain_port_8
1547.3021001615898,-24.853545226944952,-18.438388202255336,-23.970962905211216,-15.771781727466061,-16.640303301889187,-17.316643171200717,-15.402075744309618,-1.701434313667475
1547.2671054289954,-23.828892164010004,-17.59949452373877,-22.96083328925681,-14.567614059536682,-16.284387515058278,-17.104873591548653,-15.375676063271582,-1.8032505995371078
1547.23211227929,-22.941906178258847,-16.89584081703996,-22.084170874467684,-13.494944656162904,-15.931910549540708,-16.89669884816386,-15.352107425359716,-1.9192092868506778
1547.1971207123659,-22.16782652601149,-16.302778526008932,-21.315909467800232,-12.528703655699228,-15.58788540789924,-16.697169509730546,-15.332675331297887,-2.049513830613229
1547.1621307281157,-21.488736557188204,-15.802497726507728,-20.637791302101892,-11.650638755755718,-15.256294721600167,-16.510305900641697,-15.318675832455593,-2.194368434292839
1547.1271423264322,-20.891277330426465,-15.381741138694272,-20.036075211140272,-10.847024945386657,-14.940238329604929,-16.339245715463377,-15.311382805125813,-2.3539839445043538
1547.0921555072082,-20.365258384335974,-15.03041526198557,-19.500141001457557,-10.107270658933176,-14.642092080937886,-16.186402856649494,-15.312042309240958,-2.5285870537013904
1547.057170270336,-19.902778507763472,-14.740711478935108,-19.021602772496795,-9.423033130480118,-14.363660337245447,-16.053619971548407,-15.321873150793738,-2.718432024872124
1547.0221866157085,-19.497650347171923,-14.506530969083071,-18.593724910184573,-8.787636703470017,-14.106313152987598,-15.9423056663699,-15.342072345889584,-2.9238139179076073
1546.9872045432185,-19.14501261239085,-14.323097196720887,-18.211024373569312,-8.195677745637482,-13.871104486066779,-15.853552749990916,-15.37382397452674,-3.1450822065172135
1546.952224052758,-18.841061184028007,-14.186687278163072,-17.868990398322534,-7.6427473242652155,-13.658870900468598,-15.788236969117971,-15.41830991117716,-3.3826537334597355
1546.9172451442205,-18.58285702865548,-14.09444013677099,-17.563879294890256,-7.125229349735129,-13.470311880469541,-15.747097354441808,-15.47672110021364,-3.63702414597188
1546.8822678174981,-18.36818454836792,-14.044215074175995,-17.2925576763327,-6.640147550207826,-13.30605369251575,-15.730800113826076,-15.550268363145427,-3.9087772514910943
