;thickness(m) = 2.2e-07
mode 0 = TE
mode 1 = TM
;wavelength(m), width(m), curvature(1/m), temperature(K), mode number, neff, ng, loss (dB/m), dispersion(s/m^2)
1.285e-06, 4.5e-07, 100000, 250, 0, 2.67155, 4.27626, 127.718, -0.000730365
1.31e-06, 4.5e-07, 100000, 250, 0, 2.64038, 4.27166, 129.778, -0.000501632
1.335e-06, 4.5e-07, 100000, 250, 0, 2.60928, 4.26863, 131.838, -0.0003108
1.36e-06, 4.5e-07, 100000, 250, 0, 2.57823, 4.2669, 133.898, -0.000154852
1.53e-06, 5e-07, 100000, 250, 0, 2.4583, 4.17928, 146.998, 9.98047e-05
1.53875e-06, 5e-07, 100000, 250, 0, 2.44846, 4.17955, 147.715, 0.000102359
1.5475e-06, 5e-07, 100000, 250, 0, 2.43861, 4.17981, 148.432, 0.000102225
1.55625e-06, 5e-07, 100000, 250, 0, 2.42877, 4.18008, 149.148, 9.93576e-05
1.565e-06, 5e-07, 100000, 250, 0, 2.41892, 4.18033, 149.865, 9.37237e-05
1.26e-06, 5e-07, 100000, 250, 0, 2.76326, 4.21117, 124.887, -0.00138131
1.285e-06, 5e-07, 100000, 250, 0, 2.73463, 4.20188, 126.935, -0.00110281
1.31e-06, 5e-07, 100000, 250, 0, 2.70616, 4.19453, 128.982, -0.000862439
1.335e-06, 5e-07, 100000, 250, 0, 2.67781, 4.18885, 131.029, -0.000655324
1.36e-06, 5e-07, 100000, 250, 0, 2.64956, 4.18462, 133.077, -0.000477723
1.53e-06, 5.5e-07, 100000, 250, 0, 2.52369, 4.10597, 146.091, -5.27746e-05
1.53875e-06, 5.5e-07, 100000, 250, 0, 2.51464, 4.10585, 146.803, -3.69066e-05
1.5475e-06, 5.5e-07, 100000, 250, 0, 2.50559, 4.10577, 147.515, -2.2922e-05
1.55625e-06, 5.5e-07, 100000, 250, 0, 2.49655, 4.10572, 148.227, -1.08032e-05
1.565e-06, 5.5e-07, 100000, 250, 0, 2.4875, 4.1057, 148.94, -5.57216e-07
1.26e-06, 5.5e-07, 100000, 250, 0, 2.80599, 4.15884, 124.116, -0.00168209
1.285e-06, 5.5e-07, 100000, 250, 0, 2.77926, 4.1473, 126.151, -0.00140341
1.31e-06, 5.5e-07, 100000, 250, 0, 2.75274, 4.1377, 128.186, -0.00116113
1.335e-06, 5.5e-07, 100000, 250, 0, 2.72639, 4.1298, 130.22, -0.000950149
1.36e-06, 5.5e-07, 100000, 250, 0, 2.70017, 4.12338, 132.255, -0.000766375
1.53e-06, 6e-07, 100000, 250, 0, 2.57653, 4.04636, 145.184, -0.000254089
1.53875e-06, 6e-07, 100000, 250, 0, 2.56813, 4.04572, 145.891, -0.000232323
1.5475e-06, 6e-07, 100000, 250, 0, 2.55973, 4.04514, 146.599, -0.000212011
1.55625e-06, 6e-07, 100000, 250, 0, 2.55133, 4.0446, 147.307, -0.000193149
1.565e-06, 6e-07, 100000, 250, 0, 2.54294, 4.04412, 148.015, -0.000175711
1.26e-06, 6e-07, 100000, 250, 0, 2.84078, 4.11898, 123.345, -0.00193675
1.285e-06, 6e-07, 100000, 250, 0, 2.81556, 4.10552, 125.368, -0.00165966
1.31e-06, 6e-07, 100000, 250, 0, 2.79058, 4.094, 127.39, -0.0014182
1.335e-06, 6e-07, 100000, 250, 0, 2.7658, 4.08418, 129.412, -0.0012071
1.36e-06, 6e-07, 100000, 250, 0, 2.74119, 4.07583, 131.434, -0.00102211
1.53e-06, 6.5e-07, 100000, 250, 0, 2.61624, 4.0002, 144.276, -0.000441725
1.53875e-06, 6.5e-07, 100000, 250, 0, 2.60833, 3.99907, 144.98, -0.000417338
1.5475e-06, 6.5e-07, 100000, 250, 0, 2.60042, 3.998, 145.683, -0.000394211
1.55625e-06, 6.5e-07, 100000, 250, 0, 2.59253, 3.99699, 146.386, -0.000372312
1.565e-06, 6.5e-07, 100000, 250, 0, 2.58463, 3.99604, 147.089, -0.000351619
1.26e-06, 6.5e-07, 100000, 250, 0, 2.86687, 4.08928, 122.575, -0.00214013
1.285e-06, 6.5e-07, 100000, 250, 0, 2.84277, 4.07429, 124.584, -0.00186479
1.31e-06, 6.5e-07, 100000, 250, 0, 2.81894, 4.06123, 126.593, -0.00162473
1.335e-06, 6.5e-07, 100000, 250, 0, 2.79534, 4.04985, 128.603, -0.00141458
1.36e-06, 6.5e-07, 100000, 250, 0, 2.77194, 4.03995, 130.612, -0.00123
1.53e-06, 8.5e-07, 100000, 250, 0, 2.71477, 3.89355, 140.647, -0.00101894
1.53875e-06, 8.5e-07, 100000, 250, 0, 2.70803, 3.89091, 141.332, -0.000992186
1.5475e-06, 8.5e-07, 100000, 250, 0, 2.70132, 3.88834, 142.018, -0.000966446
1.55625e-06, 8.5e-07, 100000, 250, 0, 2.69461, 3.88584, 142.703, -0.000941687
1.565e-06, 8.5e-07, 100000, 250, 0, 2.68792, 3.8834, 143.389, -0.000917872
1.26e-06, 8.5e-07, 100000, 250, 0, 2.93366, 4.0302, 119.491, -0.00272414
1.285e-06, 8.5e-07, 100000, 250, 0, 2.91209, 4.01083, 121.45, -0.00245046
1.31e-06, 8.5e-07, 100000, 250, 0, 2.89089, 3.99337, 123.409, -0.00221209
1.335e-06, 8.5e-07, 100000, 250, 0, 2.87, 3.97759, 125.368, -0.0020035
1.36e-06, 8.5e-07, 100000, 250, 0, 2.84939, 3.96327, 127.326, -0.00182019
1.53e-06, 1e-06, 100000, 250, 0, 2.75654, 3.86149, 137.924, -0.0013259
1.53875e-06, 1e-06, 100000, 250, 0, 2.75023, 3.85805, 138.597, -0.00129853
1.5475e-06, 1e-06, 100000, 250, 0, 2.74394, 3.85468, 139.269, -0.00127214
1.55625e-06, 1e-06, 100000, 250, 0, 2.73767, 3.85137, 139.941, -0.00124672
1.565e-06, 1e-06, 100000, 250, 0, 2.73142, 3.84813, 140.614, -0.0012222
1.26e-06, 1e-06, 100000, 250, 0, 2.96477, 4.02359, 117.178, -0.00304512
1.285e-06, 1e-06, 100000, 250, 0, 2.94398, 4.00182, 119.099, -0.00277026
1.31e-06, 1e-06, 100000, 250, 0, 2.9236, 3.98197, 121.02, -0.0025307
1.335e-06, 1e-06, 100000, 250, 0, 2.90357, 3.9638, 122.941, -0.00232093
1.36e-06, 1e-06, 100000, 250, 0, 2.88388, 3.9471, 124.862, -0.00213643
1.53e-06, 1.5e-06, 100000, 250, 0, 2.83992, 3.88716, 128.851, -0.00194849
1.53875e-06, 1.5e-06, 100000, 250, 0, 2.83395, 3.88208, 129.479, -0.00192381
1.5475e-06, 1.5e-06, 100000, 250, 0, 2.828, 3.87707, 130.107, -0.00189998
1.55625e-06, 1.5e-06, 100000, 250, 0, 2.82208, 3.87211, 130.735, -0.00187695
1.565e-06, 1.5e-06, 100000, 250, 0, 2.81619, 3.86722, 131.363, -0.00185469
1.26e-06, 1.5e-06, 100000, 250, 0, 2.73174, 4.20757, 109.469, -0.000681284
1.285e-06, 1.5e-06, 100000, 250, 0, 2.7025, 4.2038, 111.264, -0.000327703
1.31e-06, 1.5e-06, 100000, 250, 0, 2.84334, 4.01914, 113.058, -0.0023102
1.335e-06, 1.5e-06, 100000, 250, 0, 2.82106, 4.00282, 114.853, -0.00204826
1.36e-06, 1.5e-06, 100000, 250, 0, 2.79906, 3.98836, 116.647, -0.0018126
1.53e-06, 2e-06, 100000, 250, 0, 2.73997, 3.90836, 119.777, -0.00196002
1.53875e-06, 2e-06, 100000, 250, 0, 2.7333, 3.90327, 120.36, -0.00192591
1.5475e-06, 2e-06, 100000, 250, 0, 2.72666, 3.89826, 120.944, -0.0018924
1.55625e-06, 2e-06, 100000, 250, 0, 2.72005, 3.89333, 121.528, -0.00185945
1.565e-06, 2e-06, 100000, 250, 0, 2.71347, 3.8885, 122.112, -0.00182703
1.26e-06, 2e-06, 100000, 250, 0, 2.56022, 4.43562, 101.76, 0.00177509
