.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.49968792680192e-06,0.001506303450705032,0.0001937237283117585,2035.879946109713,2.252676617681673e-11,44391635805.63744,-0.0008173189253478759,56.37050501124521,-56.37050501124521
1.49970704489314e-06,0.001503283671116142,-0.00035620515262439,2035.519379108583,2.251305473244037e-11,44418672271.91705,-0.0006170783289399008,56.22194177523138,-56.22194177523138
1.499726163471802e-06,0.001304498453341549,-0.0008791867359849702,2035.15900100579,2.250249331394479e-11,44439519925.56754,-0.0004877563390355932,56.06479980815362,-56.06479980815362
1.499745282537926e-06,0.0009282653389944233,-0.001307075007077164,2034.798772217446,2.249398232552801e-11,44456334388.82532,-0.0004025589874314189,55.90046326119658,-55.90046326119658
1.49976440209153e-06,0.0004162283914245431,-0.00158102707206591,2034.438666665646,2.248705096990853e-11,44470037504.61404,-0.0003224961597693574,55.73018478942153,-55.73018478942153
1.499783522132633e-06,-0.0001708291857052693,-0.00165942643588297,2034.078659843044,2.248196834072378e-11,44480091104.3275,-0.0002091599146208183,55.55505722202486,-55.55505722202486
1.499802642661253e-06,-0.000759866001602664,-0.001524002395178765,2033.718717054436,2.247959539928684e-11,44484786413.53681,-3.905102316634705e-05,55.37605051023407,-55.37605051023407
1.499821763677409e-06,-0.001274359477116929,-0.001183241965203079,2033.358786221544,2.248099817372792e-11,44482010641.70873,0.000185774087086272,55.1941051181703,-55.1941051181703
1.49984088518112e-06,-0.001643917618754102,-0.0006725749296537825,2032.998798511294,2.248693593287084e-11,44470265001.2101,0.000435278401240596,55.01025115454158,-55.01025115454158
1.499860007172404e-06,-0.001813599769691795,-5.121272134511954e-05,2032.638677531022,2.249740045787996e-11,44449579935.78938,0.0006592203416101801,54.82570930374613,-54.82570930374613
1.499879129651281e-06,-0.001751869403713181,0.000604156984993351,2032.278354710848,2.251138571541659e-11,44421965517.4388,0.0008034812297209352,54.64193123962072,-54.64193123962072
1.499898252617768e-06,-0.001456158968072178,0.001208349220495969,2031.91778587474,2.252700245546353e-11,44391170195.72515,0.0008298152408972637,54.46055499687436,-54.46055499687436
1.499917376071884e-06,-0.0009550864619917935,0.00167853907560984,2031.556962953073,2.254193454413183e-11,44361764871.69875,0.0007318378496710482,54.2832801163854,-54.2832801163854
1.499936500013648e-06,-0.0003065553838393452,0.001945767119139387,2031.195915940354,2.255410064389984e-11,44337835313.79549,0.0005405068628381919,54.11169854290855,-54.11169854290855
1.499955624443079e-06,0.0004085454342723628,0.001965430151944425,2030.834703418512,2.256228787496044e-11,44321746338.04745,0.0003157025731050553,53.94713807386314,-53.94713807386314
1.499974749360195e-06,0.001096533493453195,0.001724924431049109,2030.473394222619,2.256651144585702e-11,44313451035.58706,0.0001259823766370602,53.79057552627473,-53.79057552627473
1.499993874765015e-06,0.001663634328694624,0.001246923020352311,2030.112046447575,2.369453367714343e-11,42203826993.42316,0.1178331290751747,53.64265380022786,-53.64265380022786
1.500013000657557e-06,0.002049716173533144,0.0005141307680234489,2029.714614117152,2.506740296974403e-11,39892445228.84898,0.02572937603860265,53.5011368062052,-53.5011368062052
1.500032127037841e-06,0.002118597549368704,-0.0003409240300966846,2029.309302366246,2.531469309176719e-11,39502750295.05369,0.0001294890392163428,53.36800095569924,-53.36800095569924
1.500051253905885e-06,0.001838406645564652,-0.001165184366852906,2028.903950959322,2.531869015922302e-11,39496513986.75231,0.0002884620922322987,53.24460530703162,-53.24460530703162
1.500070381261707e-06,0.001245877587470567,-0.001819323939640136,2028.498511208629,2.532509596301611e-11,39486523623.06407,0.0003813421949525803,53.1317159701488,-53.1317159701488
1.500089509105327e-06,0.0004320507881989802,-0.002188678803861877,2028.092954665931,2.533229770700705e-11,39475297960.17654,0.0003716695206633388,53.030338610032,-53.030338610032
1.500108637436762e-06,-0.0004715422725289644,-0.002203969874921416,2027.687284290735,2.533865025658353e-11,39465401269.35839,0.0002925346989719456,52.94150366237416,-52.94150366237416
